State,City,American_Indian_and_Alaska_Native,Asian,Black_or_African_American,Hispanic_or_Latino,White
Washington,Kirkland,1155,15277,1041,6720,70491
Washington,Marysville,3260,6185,1800,7142,58894
Washington,Pasco,1054,2215,2265,38883,55741
Washington,Renton,2338,22550,12265,15392,58251
Washington,Seattle,12804,121507,61974,43060,511401
Washington,Spokane,7192,9059,10045,13365,193143
Washington,Spokane Valley,2473,1336,1192,5110,91125
Washington,Tacoma,5549,26909,30914,25764,149859
Washington,Vancouver,4541,10882,7520,23184,149863
Washington,Yakima,2042,2248,924,44172,79286
Wisconsin,Appleton,835,5561,3407,5139,64674
Wisconsin,Eau Claire,876,4202,725,1488,62194
Wisconsin,Green Bay,6547,5652,7561,16786,82033
Wisconsin,Kenosha,1264,2537,11915,18772,84780
Wisconsin,Madison,2296,23937,20424,19697,204302
Wisconsin,Milwaukee,10813,24832,248149,110335,297038
Wisconsin,Oshkosh,237,3182,2778,1972,60210
Wisconsin,Racine,1371,1175,20014,18215,52445
Wisconsin,Waukesha,481,2904,1923,9713,66757
